Target V, Target C, Colimator V, Collimator C, Time 
129.39000000000001,0.00005,108.47999999999999,0.00000,14:45:14 
188.17000000000002,0.00009,48.300000000000004,-0.0000,14:45:16 
246.75,0.00005,0.36000000000000004,0.00008,14:45:18 
299.97,0.00002,0.27999999999999997,0.00005,14:45:20 
299.97,0.00002,0.27999999999999997,0.00004,14:45:22 
299.98,0.00001,0.27999999999999997,0.00003,14:45:23 
299.97,0.00002,0.27999999999999997,0.00003,14:45:25 
299.98,0.00001,0.27999999999999997,0.00004,14:45:26 
299.97,0.00002,0.27999999999999997,0.00002,14:45:28 
334.15,0.00005,12.52,0.00010,14:45:30 
392.96999999999997,0.00003,71.9,0.00007,14:45:32 
400.0,0.00001,99.88,0.00004,14:45:34 
406.49,0.00004,99.88,0.00010,14:45:36 
464.12,0.00003,156.29000000000002,0.00006,14:45:38 
499.99,0.00001,199.88,0.00003,14:45:40 
499.97999999999996,0.00001,199.88,0.00003,14:45:41 
505.97,0.00004,199.89000000000001,0.00008,14:45:44 
564.78,0.00006,257.37,0.00005,14:45:46 
599.97,0.00000,299.86,0.00003,14:45:47 
599.97,0.00001,299.87,0.00003,14:45:49 
599.9799999999999,0.00000,299.87,0.00003,14:45:51 
599.97,0.00001,299.85,0.00003,14:45:52 
599.9799999999999,0.00001,299.86,0.00002,14:45:54 
599.97,0.00001,299.84,0.00003,14:45:55 
634.77,0.00006,327.34999999999997,0.00006,14:45:57 
693.56,0.00002,385.65,0.00006,14:45:59 
699.98,0.00000,399.86,0.00003,14:46:01 
699.96,-0.0000,399.87,0.00003,14:46:02 
699.97,0.00001,399.87,0.00003,14:46:04 
