Target V, Target C, Colimator V, Collimator C, Time 
20.979999999999997,0.00006,0.27999999999999997,0.00004,11:38:49 
80.83,0.00005,0.27999999999999997,0.00003,11:38:50 
137.87,0.00006,0.27999999999999997,0.00003,11:38:52 
197.81,0.00005,0.27999999999999997,0.00003,11:38:54 
257.26,0.00008,0.27999999999999997,0.00003,11:38:56 
299.85,0.00002,0.27999999999999997,0.00003,11:38:58 
299.87,0.00003,0.27999999999999997,0.00003,11:39:00 
299.87,0.00002,0.27999999999999997,0.00004,11:39:01 
299.88,0.00001,0.27999999999999997,0.00003,11:39:03 
299.85,0.00001,0.27999999999999997,0.00004,11:39:05 
299.87,0.00002,0.27999999999999997,0.00004,11:39:06 
