Target V, Target C, Colimator V, Collimator C, Time 
188.82,0.00005,0.27999999999999997,0.00004,11:37:19 
248.79999999999998,0.00007,0.27999999999999997,0.00003,11:37:21 
300.0,0.00002,0.27999999999999997,0.00004,11:37:23 
300.0,0.00001,0.27999999999999997,0.00003,11:37:24 
299.98999999999995,0.00002,0.27999999999999997,0.00004,11:37:26 
299.98999999999995,0.00003,0.27999999999999997,0.00004,11:37:28 
305.94,0.00005,0.27999999999999997,0.00006,11:37:30 
364.20000000000005,0.00008,41.279999999999994,0.00008,11:37:32 
400.03,0.00003,99.92,0.00004,11:37:34 
400.02,0.00002,99.9,0.00003,11:37:35 
405.95,0.00005,99.87,0.00008,11:37:37 
464.81,0.00007,157.07999999999998,0.00006,11:37:39 
500.02000000000004,0.00001,199.9,0.00003,11:37:41 
500.00999999999993,0.00001,199.9,0.00003,11:37:43 
500.00999999999993,0.00001,199.91,0.00002,11:37:44 
535.38,0.00006,227.48,0.00006,11:37:47 
593.84,0.00002,286.25,0.00009,11:37:49 
600.01,0.00001,299.88,0.00003,11:37:50 
600.01,0.00001,299.89,0.00004,11:37:52 
