Target V, Target C, Colimator V, Collimator C, Time 
507.05,-0.0000,271.78999999999996,0.00000,15:19:09 
449.5,-0.0000,214.23,-0.0000,15:19:10 
391.21,-0.0000,155.53,0.00000,15:19:12 
331.2,-0.0000,150.0,0.00003,15:19:14 
273.71000000000004,-0.0000,150.01999999999998,0.00004,15:19:16 
215.43,-0.0000,149.99,0.00004,15:19:18 
200.02,0.00001,150.01,0.00003,15:19:20 
200.01,0.00002,150.01,0.00003,15:19:21 
200.02,0.00001,150.0,0.00003,15:19:23 
200.02,0.00002,150.0,0.00003,15:19:24 
235.27,0.00004,177.62,0.00008,15:19:27 
293.57,0.00002,236.35999999999999,0.00008,15:19:28 
299.98999999999995,0.00003,250.0,0.00003,15:19:30 
299.98,0.00002,249.98999999999998,0.00002,15:19:32 
299.97,0.00002,250.02,0.00003,15:19:33 
334.78000000000003,0.00005,278.18,0.00009,15:19:36 
393.59,0.00002,336.09,0.00006,15:19:37 
400.03,0.00001,350.03000000000003,0.00002,15:19:39 
400.02,0.00002,350.03000000000003,0.00002,15:19:41 
400.03,0.00001,350.03000000000003,0.00003,15:19:42 
