Target V, Target C, Colimator V, Collimator C, Time 
20.86,0.00007,0.27999999999999997,0.00003,15:26:43 
80.25999999999999,0.00005,0.27999999999999997,0.00004,15:26:45 
139.02999999999997,0.00005,0.27999999999999997,0.00003,15:26:46 
197.28,0.00006,0.27999999999999997,0.00003,15:26:48 
257.15,0.00004,0.27999999999999997,0.00003,15:26:50 
299.85,0.00002,0.27999999999999997,0.00004,15:26:52 
299.86,0.00002,0.27999999999999997,0.00002,15:26:54 
299.84,0.00002,0.27999999999999997,0.00004,15:26:56 
299.86,0.00001,0.27999999999999997,0.00003,15:26:57 
299.84,0.00002,0.27999999999999997,0.00003,15:26:59 
299.85,0.00002,0.27999999999999997,0.00003,15:27:00 
299.85,0.00002,0.27999999999999997,0.00004,15:27:02 
299.85,0.00002,0.27999999999999997,0.00003,15:27:03 
306.25,0.00008,0.27999999999999997,0.00005,15:27:05 
363.39,0.00004,41.910000000000004,0.00007,15:27:07 
399.88,0.00001,99.88,0.00003,15:27:09 
399.89000000000004,0.00001,99.9,0.00004,15:27:11 
399.87,0.00001,99.87,0.00004,15:27:12 
399.88,0.00001,99.88,0.00003,15:27:14 
399.88,0.00001,99.89,0.00003,15:27:15 
399.88,0.00001,99.89,0.00003,15:27:17 
399.89000000000004,0.00001,99.88,0.00003,15:27:18 
399.89000000000004,0.00001,99.88,0.00003,15:27:20 
399.89000000000004,0.00001,99.88,0.00003,15:27:21 
400.0,0.00001,99.88,0.00003,15:27:23 
400.0,0.00000,99.99,0.00003,15:27:25 
400.0,0.00001,100.01,0.00003,15:27:26 
399.99,0.00001,100.0,0.00003,15:27:28 
400.0,0.00000,100.0,0.00003,15:27:29 
400.01,0.00002,100.02,0.00004,15:27:31 
400.0,0.00001,100.0,0.00003,15:27:32 
400.0,0.00001,100.01,0.00003,15:27:34 
400.0,0.00001,100.01,0.00003,15:27:35 
400.0,0.00001,100.01,0.00003,15:27:37 
400.0,0.00001,100.0,0.00003,15:27:39 
400.0,0.00001,99.99,0.00003,15:27:40 
