Target V, Target C, Colimator V, Collimator C, Time 
50.25,0.00006,0.27999999999999997,0.00003,13:53:06 
137.26,0.00005,0.27999999999999997,0.00003,13:53:09 
225.45999999999998,0.00005,0.27999999999999997,0.00004,13:53:12 
313.68,0.00005,0.27999999999999997,0.00002,13:53:15 
400.68,0.00004,0.27999999999999997,0.00003,13:53:18 
488.84,0.00004,0.27999999999999997,0.00003,13:53:21 
577.04,0.00004,0.27999999999999997,0.00004,13:53:24 
664.03,0.00005,0.27999999999999997,0.00004,13:53:27 
752.2299999999999,0.00006,0.27999999999999997,0.00003,13:53:30 
763.87,0.00000,0.27999999999999997,0.00003,13:53:32 
826.96,0.00002,41.87,0.00010,13:53:35 
863.87,-0.0000,99.88,0.00003,13:53:38 
864.01,-0.0000,99.89,0.00004,13:53:41 
899.9399999999999,0.00002,128.09,0.00007,13:53:44 
964.01,-0.0000,199.88,0.00003,13:53:47 
970.01,0.00003,199.88,0.00006,13:53:50 
1057.58,-0.0000,286.19,0.00005,13:53:53 
1063.99,-0.0000,299.85,0.00003,13:53:56 
